Date,Copper_Price_USD,Price_Return_1D,Price_Return_3D,Article_Count,Next_Day_Return,Next_3D_Return,Prev_Day_Return
2025-12-30,5.727499961853027,,,0.0,-0.017023107474725352,0.0343954653889067,
2025-12-31,5.630000114440918,-0.017023107474725352,,0.0,0.001776154856378831,0.06758433961781551,
2026-01-02,5.639999866485596,0.001776154856378831,,0.0,0.05044328524915209,0.029964566094662137,-0.017023107474725352
2026-01-05,5.924499988555908,0.05044328524915209,0.0343954653889067,0.0,0.014515987143868259,-0.03004472506387945,0.001776154856378831
2026-01-06,6.010499954223633,0.014515987143868259,0.06758433961781551,1.0,-0.03352465526985782,-0.025788159745724903,0.05044328524915209
2026-01-07,5.809000015258789,-0.03352465526985782,0.029964566094662137,0.0,-0.010759166781860618,0.0302978340150295,0.014515987143868259
2026-01-08,5.746500015258789,-0.010759166781860618,-0.03004472506387945,0.0,0.018968103315796014,0.03889320009386554,-0.03352465526985782
2026-01-09,5.855500221252441,0.018968103315796014,-0.025788159745724903,0.0,0.02211594353492563,0.026214601224735734,-0.010759166781860618
2026-01-12,5.985000133514404,0.02211594353492563,0.0302978340150295,0.0,-0.002506322972117614,-0.006182151790370072,0.018968103315796014
2026-01-13,5.96999979019165,-0.002506322972117614,0.03889320009386554,0.0,0.006532669296965388,-0.030402004089937096,0.02211594353492563
2026-01-14,6.008999824523926,0.006532669296965388,0.026214601224735734,0.0,-0.010151418219607966,-0.039274433004972464,-0.002506322972117614
2026-01-15,5.947999954223633,-0.010151418219607966,-0.006182151790370072,1.0,-0.026815757111271044,-0.03673506035822116,0.006532669296965388
2026-01-16,5.78849983215332,-0.026815757111271044,-0.030402004089937096,0.0,-0.002677735011488269,-0.007946791940665054,-0.010151418219607966
2026-01-20,5.7729997634887695,-0.002677735011488269,-0.039274433004972464,0.0,-0.0075350681407182485,0.023904385431794184,-0.026815757111271044
2026-01-21,5.729499816894531,-0.0075350681407182485,-0.03673506035822116,0.0,0.0022689609668471444,0.04441930312113418,-0.002677735011488269
2026-01-22,5.742499828338623,0.0022689609668471444,-0.007946791940665054,0.0,0.02934261238680569,0.014976050193910906,-0.0075350681407182485
2026-01-23,5.910999774932861,0.02934261238680569,0.023904385431794184,0.0,0.012349929595729003,-0.0031297330284565383,0.0022689609668471444
2026-01-26,5.984000205993652,0.012349929595729003,0.04441930312113418,0.0,-0.02598603052044579,0.03200195579726062,0.02934261238680569
2026-01-27,5.828499794006348,-0.02598603052044579,0.014976050193910906,0.0,0.010980549362894498,0.011752602622052244,0.012349929595729003
2026-01-28,5.892499923706055,0.010980549362894498,-0.0031297330284565383,0.0,0.04802715248787215,-0.015443373998621723,-0.02598603052044579
2026-01-29,6.17549991607666,0.04802715248787215,0.03200195579726062,0.0,-0.04509757653524116,-0.01829810017201816,0.010980549362894498
2026-01-30,5.896999835968018,-0.04509757653524116,0.011752602622052244,0.0,-0.016194674415304422,-0.012039956642345029,0.04802715248787215
2026-02-02,5.801499843597412,-0.016194674415304422,-0.015443373998621723,0.0,0.04498839324983006,-0.0004309329118086236,-0.04509757653524116
2026-02-03,6.0625,0.04498839324983006,-0.01829810017201816,0.0,-0.03901027404155932,-0.03282472276196036,-0.016194674415304422
2026-02-04,5.826000213623047,-0.03901027404155932,-0.012039956642345029,0.0,-0.004634470692767567,0.020425670043758393,0.04498839324983006
2026-02-05,5.798999786376953,-0.004634470692767567,-0.0004309329118086236,0.0,0.011122664986156217,0.01672704356675192,-0.03901027404155932
2026-02-06,5.863500118255615,0.011122664986156217,-0.03282472276196036,0.0,0.01389955687934874,0.014581693828669362,-0.004634470692767567
2026-02-09,5.945000171661377,0.01389955687934874,0.020425670043758393,0.0,-0.008242264390114884,-0.02926833611267765,0.011122664986156217
2026-02-10,5.895999908447266,-0.008242264390114884,0.01672704356675192,0.0,0.00898914079377544,-0.017554255593778767,0.01389955687934874
2026-02-11,5.948999881744385,0.00898914079377544,0.014581693828669362,0.0,-0.02992099123137404,-0.05311816961215876,-0.008242264390114884
2026-02-12,5.770999908447266,-0.02992099123137404,-0.02926833611267765,0.0,0.003725543401023046,0.0038988110386275476,0.00898914079377544
2026-02-13,5.792500019073486,0.003725543401023046,-0.017554255593778767,0.0,-0.02753562737075732,-0.01078981437966342,-0.02992099123137404
2026-02-17,5.632999897003174,-0.02753562737075732,-0.05311816961215876,0.0,0.028492819550103743,0.03515000139250346,0.003725543401023046
2026-02-18,5.793499946594238,0.028492819550103743,0.0038988110386275476,1.0,-0.01096054683802683,-0.003538479898928748,-0.02753562737075732
2026-02-19,5.730000019073486,-0.01096054683802683,-0.01078981437966342,0.0,0.01762649769932323,0.033682345399699054,0.028492819550103743
2026-02-20,5.830999851226807,0.01762649769932323,0.03515000139250346,0.0,-0.009946851177818905,0.025467324550948245,-0.01096054683802683
2026-02-23,5.7729997634887695,-0.009946851177818905,-0.003538479898928748,0.0,0.02598304200809154,0.030140355160686694,0.01762649769932323
2026-02-24,5.922999858856201,0.02598304200809154,0.033682345399699054,0.0,0.009539078065965212,0.013759928304556857,-0.009946851177818905
2026-02-25,5.979499816894531,0.009539078065965212,0.025467324550948245,0.0,-0.005435202138450612,-0.014215242202502143,0.02598304200809154
2026-02-26,5.947000026702881,-0.005435202138450612,0.030140355160686694,2.0,0.009668721254565193,-0.02917438376595194,0.009539078065965212
2026-02-27,6.004499912261963,0.009668721254565193,0.013759928304556857,52.0,-0.018319616141515782,-0.02489797574701913,-0.005435202138450612
2026-03-02,5.894499778747559,-0.018319616141515782,-0.014215242202502143,31.0,-0.02052757954391571,-0.02400542904344094,0.009668721254565193
2026-03-03,5.773499965667725,-0.02052757954391571,-0.02917438376595194,4.0,0.014116229997471974,-0.0028578845212471338,-0.018319616141515782
2026-03-04,5.855000019073486,0.014116229997471974,-0.02489797574701913,2.0,-0.0174210480237319,0.005977770674311156,-0.02052757954391571
2026-03-05,5.752999782562256,-0.0174210480237319,-0.02400542904344094,2.0,0.000695321931401871,,0.014116229997471974
2026-03-06,5.756999969482422,0.000695321931401871,-0.0028578845212471338,2.0,0.02310229246277573,,-0.0174210480237319
2026-03-09,5.889999866485596,0.02310229246277573,0.005977770674311156,0.0,,,0.000695321931401871
